Wall time,Step,Value
1748682831.0443306,1000,0.10000000149011612
1748682863.7981617,2000,0.0
1748682897.0979755,3000,0.10000000149011612
1748682927.4235814,4000,0.10000000149011612
1748682957.631746,5000,0.10000000149011612
1748682989.0155804,6000,0.0
1748683020.9467316,7000,0.0
1748683052.2196355,8000,0.0
1748683080.0619175,9000,0.10000000149011612
1748683110.7699552,10000,0.10000000149011612
1748683140.997295,11000,0.0
1748683170.1397338,12000,0.0
1748683200.5115044,13000,0.10000000149011612
1748683231.6824875,14000,0.0
1748683261.3199193,15000,0.0
1748683291.7772558,16000,0.0
1748683318.5691464,17000,0.30000001192092896
1748683348.8467243,18000,0.0
1748683377.1817238,19000,0.0
1748683404.9574833,20000,0.0
