Wall time,Step,Value
1748682834.2034378,1000,0.0
1748682867.385694,2000,0.0
1748682900.273481,3000,0.10000000149011612
1748682931.223788,4000,0.10000000149011612
1748682961.1869347,5000,0.10000000149011612
1748682989.5505497,6000,0.10000000149011612
1748683018.6093795,7000,0.0
1748683047.4860177,8000,0.10000000149011612
1748683076.8567643,9000,0.10000000149011612
1748683105.0054996,10000,0.20000000298023224
1748683134.8673007,11000,0.10000000149011612
1748683164.8971455,12000,0.10000000149011612
1748683195.109285,13000,0.0
1748683223.5604842,14000,0.30000001192092896
1748683251.710913,15000,0.0
1748683280.8066034,16000,0.0
1748683310.036544,17000,0.0
1748683341.4487178,18000,0.0
1748683371.6529727,19000,0.10000000149011612
1748683402.1987796,20000,0.0
