Wall time,Step,Value
1748682833.0173512,1000,0.10000000149011612
1748682864.358935,2000,0.10000000149011612
1748682897.3635545,3000,0.10000000149011612
1748682927.044766,4000,0.20000000298023224
1748682956.4777474,5000,0.10000000149011612
1748682985.7350342,6000,0.0
1748683016.1946328,7000,0.0
1748683047.8985705,8000,0.0
1748683077.6687706,9000,0.10000000149011612
1748683108.898165,10000,0.0
1748683139.9287047,11000,0.0
1748683170.730057,12000,0.10000000149011612
1748683202.4690745,13000,0.0
1748683231.0136578,14000,0.0
1748683258.059827,15000,0.20000000298023224
1748683289.714407,16000,0.0
1748683321.505686,17000,0.0
1748683351.7301311,18000,0.10000000149011612
1748683381.2428412,19000,0.10000000149011612
1748683405.8186567,20000,0.10000000149011612
