Wall time,Step,Value
1748682829.9013429,1000,0.20000000298023224
1748682862.9821694,2000,0.0
1748682893.8283608,3000,0.10000000149011612
1748682924.913258,4000,0.0
1748682955.1699529,5000,0.10000000149011612
1748682986.1903017,6000,0.0
1748683013.2340841,7000,0.20000000298023224
1748683041.479792,8000,0.10000000149011612
1748683071.5577455,9000,0.0
1748683101.7273705,10000,0.0
1748683132.6733794,11000,0.0
1748683162.0160053,12000,0.0
1748683192.0303307,13000,0.0
1748683219.2877793,14000,0.30000001192092896
1748683250.2164948,15000,0.0
1748683280.3869486,16000,0.10000000149011612
1748683309.3887963,17000,0.10000000149011612
1748683338.4877758,18000,0.10000000149011612
1748683369.8080108,19000,0.0
1748683396.9678442,20000,0.10000000149011612
