Wall time,Step,Value
1748682832.0143056,1000,0.20000000298023224
1748682864.593062,2000,0.0
1748682894.7556858,3000,0.10000000149011612
1748682926.0069258,4000,0.0
1748682957.4453213,5000,0.0
1748682987.2905157,6000,0.10000000149011612
1748683017.7398643,7000,0.10000000149011612
1748683046.7255921,8000,0.10000000149011612
1748683077.3930938,9000,0.10000000149011612
1748683107.5538452,10000,0.10000000149011612
1748683138.9999142,11000,0.0
1748683170.3784196,12000,0.0
1748683200.6565392,13000,0.0
1748683231.5972645,14000,0.10000000149011612
1748683263.7639215,15000,0.0
1748683294.8743234,16000,0.0
1748683325.73604,17000,0.0
1748683355.1372461,18000,0.10000000149011612
1748683383.994921,19000,0.20000000298023224
1748683407.5404098,20000,0.10000000149011612
